192,Astonish,Estoniş,Şaşırmak (Bir Kimseye)
193,At,Et,De..Da Eki
194,Atmosphere,Etmosfiır,Havaküre Atmosfer
195,Attach,Eteç,Birleştirmek
196,Attack,Etek,Saldırmak Atak
197,Attempt,Etempt,Denemek
198,Attend,Etend,Katılmak (Bir Yerde)Bulunmak
199,Attention,Etenşın,Dikkat
200,Attitude,Etitüud,Yaklaşım Düşünce Hareket Tavır
201,Attractive,Etrektiv,Çekici
202,August,Ogust,Ağustos
203,Aunt,Aant,Teyze Hala
204,Autumn,Otumn,Sonbahar
205,Available,Eveylıbl,Hazır Serbest Boşta
206,Avenue,Evenyu,Cadde
207,Average,Evirıç,Ortalama
208,Avoid,Evoid,Kaçınmak
209,Awake,Eveyk,Uyanık
210,Aware,Eveyr,Bilgili Farkında Olmak Haberdar Olmak
211,Away,Evey,Buradan Burada Değil
212,Ambition,Embişın,Hırs
213,Ambush,Embuş,Tuzak
214,Among,Emong,Arasında
215,Amount,Emaunt,Miktar
216,Amuse,Emüuz,Güldürmek
217,And,End,Ve
218,Angry,Engri,Kızgın
219,Animal,Enimıl,Hayvan
220,Ankle,Enkl,Ayak Bileği
221,Anniversary,Enivörsıri,Yıldönümü
222,Announce,Enauns,Bildirmek Çağrıda Bulunmak Anons
223,Annoy,Enoy,Rahatsız Etmek Kızdırmak
224,Annual,Enyuıl,Yıllık
225,Another,Enadır,Diğer Bir Başka
226,Answer,Ensır,Yanıt
227,Bald,Bold,Kel
228,Ball,Bol,1.Top 2.Balo
229,Ballerina,Belıriinı,Balerin
230,Ballet,Baley,Bale
231,Balloon,Baluun,Balon
232,Ban,Ben,Yasak
233,Banana,Bınana,Muz
234,Band,Bend,1.Bant (Şerit) 2.Bando
235,Awful,Oful,Kötü Berbat Üzücü
236,Axe,Eks,Balta
237,Baby,Beybi,Bebek
238,Back,Bek,1.Arka 2.Sırt
239,Backbone,Bekbon,1.Sırt Kemiği 2.Bir İşin Temeli
240,Background,Bekraund,1.Fon Geri Plan 2.Temel
241,Backward,Bekvörd,Geriye Doğru
242,Bad,Bed,Kötü
243,Badly,Bedli,1.Kötü 2.Çok Fazla
244,Bag,Beg,Çanta
245,Baggage,Begıc,Bagaj
246,Bake,Beyk,Pişirmek
247,Baker,Beykır,Fırıncı
248,Balance,Belıns,1.Denge 2.Bakiye
249,Balcony,Belkıni,Balkon
250,Bored,Bord,Canı Sıkılmış
251,Born,Born,Doğmuş
252,Borrow,Borou,Ödünç Almak
253,Boss,Bos,Patron
254,Both,Bouth,İkisi
255,Bottle,Botl,Şişe
256,Bottom,Botım,En Alt Dip
257,Bow,Bou,Yay
258,Bank,Benk,Banka
259,Banker,Benkır,Banka Yöneticisi Banker
260,Banknote,Benknot,Kağıt Para
261,Bankrupt,Benkrapt,İflas
262,Bar,Bar,1.Çubuk 2.Bar
263,Bare,Beyr,Çıplak Boş
264,Bargain,Bargın,1.Pazarlık Etmek 2.Kelepir
265,Barrel,Berıl,1.Varil 2.Namlu
266,Base,Beys,1. Taban 2.Üs
267,Basement,Beysmınt,Bodrum
268,Basin,Beysn,Kazan
269,Basket,Baskıt,Sepet
270,Bath,Bath,Yıkanmak
271,Bathe,Beth,Yıkamak (Bedenin Bir Bölümünü)
272,Battle,Betl,Savaş Muharebe
273,Bay,Bey,Koy
274,Beach,Biiç,Sahil
275,Bean,Biin,Fasulye
276,Bear,Beır,1.Taşımak Dayanabilmek 2.Ayı
277,Beard,Bıed,Sakal
278,Beast,Biist,Canavar
279,Beat,Biit,1.Vurmak 2.Yenmek
280,Bowl,Boul,Tas
281,Box,Boks,1.Kutu 2.Boks
282,Boy,Boy,Erkek Çocuk
283,Bra,Bra,Sutyen
284,Brain,Breyn,Beyin
285,Brass,Bras,Pirinç (Metal)
286,Brave,Breyv,Korkusuz Cesur
287,Bread,Bred,Ekmek
288,Break,Breyk,Kırmak
289,Breakfast,Brekfıst,Kahvaltı
290,Breath,Breth,Nefes
291,Breathe,Brith,Nefes Almak
292,Brick,Brik,Tuğla
293,Bridge,Bric,Köprü
294,Brief,Briif,Kısa Özetli
295,Bright,Brayt,Parlak
296,Bring,Bring,Getirmek
297,Broad,Brood,Geniş
298,Broadcast,Broodkast,Yayın (Radyo Ve T.V. Yoluyla)
299,Broom,Bruum,Süpürge
300,Brother,Bradır,Erkek Kardeş Ağabey
301,Brown,Braun,Kahverengi
302,Beautiful,Büutiful,Güzel
303,Beauty,Büuti,Güzellik
304,Because,Bikoz,Çünkü
305,Become,Bıkam,Gelişmek Değişmek
306,Bed,Bed,Yatak
307,Bee,Bii,Arı
308,Beef,Biif,Dana Eti
309,Beer,Biır,Bira
310,Beetle,Biitl,Hamamböceği
311,Before,Bifor,Önce
312,Beg,Beg,Dilenmek
313,Begin,Begın,Başlamak
314,Behave,Biheyv,Davranmak
315,Behind,Bihaynd,Arkada Geride
316,Being,Biing,Varlık
317,Believe,Bıliiv,İnanmak
318,Bell,Bel,Zil Çan
319,Belong,Bilong,Ait Olmak
320,Below,Bilov,Altta Aşağıda
321,Belt,Belt,Kemer
322,Bench,Benç,1.Tezgah 2.Bank
323,Bend,Bend,Eğmek Eğilmek
324,Beneath,Bınith,Altında
325,Benefit,Benıfit,Yararı Olmak
326,Brush,Braş,1.Fırça 2.Fırçalamak
327,Budget,Bacıt,1.Bütçe 2.Bütçe Yapmak
328,Build,Bild,İnşa Etmek Yapmak
329,Building,Bilding,Bina
330,Bulb,Balb,Ampul
331,Bump,Bamp,Çarpışma
332,Bumper,Bampır,Tampon (Araba)
333,Bumpy,Bampi,Engebeli
334,Bunch,Banç,Deste Demet
335,Bungalow,Banglou,Bungalov
336,Burglar,Börglır,Hırsız
337,Burn,Börn,Yanmak
338,Burst,Börst,Patlamak
339,Bury,Böri,Gömmek
340,Bus,Bas,Otobüs
341,Bush,Buş,Çalı
342,Business,Biznıs,İş
343,Busy,Bizi,Meşgul
344,But,Bat,Fakat
345,Butcher,Butçır,Kasap
346,Butter,Batır,Tereyağ
347,Button,Batn,Düğme
348,Buy,Bay,Satın Almak
349,By,Bay,Yanında Sırasında Tarafından ..E Kadar
350,Berry,Beri,Küçük Çekirdeksiz Meyve
351,Beside,Bisayd,Yanında
352,Besides,Bisaydz,Hem De
353,Best,Best,En İyi
354,Bet,Bet,İddia Etmek İddiaya Girmek
355,Better,Better,Daha İyi
356,Between,Bitviin,Arasında
357,Beyond,Biyand,Ötesinde
358,Bicycle,Baysikl,Bisiklet
359,Big,Big,Büyük
360,Bike,Bayk,Bisiklet
361,Bill,Bil,1.Makbuz 2.Hesap 3.Kanun Taslağı 4.Gaga (Kuş)
362,Bin,Bin,Kap
363,Bind,Baynd,Bağlamak
364,Bird,Börd,Kuş
365,Birth,Börth,Doğum
366,Biscuit,Biskit,Bisküvi
367,Bishop,Bişıp,Piskopos
368,Bit,Bit,1.Parça 2.Matkap Anahtarın Ucu
369,Bite,Bayt,Isırmak
370,Black,Blek,Siyah
371,Cab,Keb,Taksi
372,Cable,Keybl,1.Kablo 2.Telgraf
373,Cage,Keyc,Kafes
374,Cake,Keyk,Kek
375,Calculate,Kalkuleyt,Hesaplamak
376,Calendar,Kelindır,Takvim
377,Call,Kol,1.Çağırmak 2.Telefon Etmek 3.Kısa Ziyaret
378,Calm,Kaam,Sakin
379,Camera,Kemıra,Kamera
380,Camouflage,Kamuflaaj,Saklamak
381,Camp,Kemp,Kamp
382,Campaign,Kempein,Kampanya
383,Campus,Kempıs,Kampüs
384,Can,Ken,Teneke Kutu
385,Canal,Knal,Kanal
386,Cancel,Kensıl,İptal Etmek
387,Cancer,Kensır,Kanser
388,Candidate,Kendidıt,Aday
389,Candle,Kendl,Mum
390,Canteen,Kantiin,Kantin
391,Capacity,Kpasiti,Kapasite
392,Blame,Bleym,Sorumlu Tutmak Suçlamak
393,Blank,Blenk,Boşluk
394,Blanket,Blenkıt,Battaniye
395,Blast,Blast,Patlayarak Parçalanma Mahvetmek
396,Bless,Bles,(Tanrı'dan) Korunmasını Dilemek Takdis
397,Blind,Blaynd,Kör
398,Block,Blok,Blok
399,Blood,Blad,Kan
400,Bloom,Bluum,Çiçek Çiçek Açmak
401,Blow,Blou,Üflemek Patlamak
402,Blue,Blu,1. Mavi 2.Mutsuz
403,Bluff,Blaf,Blöf
404,Board,Boord,Binmek (Gemiye Uçağa Vs.) 2.Tahta 3.Kurul
405,Boast,Boust,Övünmek
406,Boat,Bout,Bot Sandal
407,Body,Badi,Gövde Vücut
408,Boil,Boıl,Kaynamak
409,Bold,Bould,Cüretkar Utanmaz Korkusuz Vs.
410,Bomb,Bomb,Bomba
411,Bone,Boun,Kemik
412,Capital,Kepıtl,1.Başkent 2.Büyük Harf 3.Sermaye Anamal
413,Captain,Keptın,1.Kaptan 2.Yüzbaşı
414,Capture,Kepçır,1.Ele Geçirmek 2.Hapse Atmak
415,Car,Kaar,Araba
416,Caravan,Karavan,Karavan
417,Card,Kaad,Kart
418,Cardigan,Kardigın,Hırka
419,Care,Keyr,Dikkat Özen
420,Career,Kariır,Meslek
421,Carnival,Karnivıl,Karnaval
422,Carpenter,Karpıntır,Marangoz
423,Carpet,Kaarpıt,Halı
424,Carriage,Keriıc,1.Fayton 2.Vagon
425,Carry,Keri,Taşımak
426,Case,Keys,1.Kutu Kap 2.Dava
427,Cash,Keş,Nakit
428,Castle,Kesl,Kale
429,Cat,Ket,Kedi
430,Catch,Keç,Yakalamak
431,Cattle,Ketl,Büyükbaş Hayvan
432,Bonfire,Bonfayır,Meydan Ateşi Şenlik Ateşi
433,Book,Buk,Kitap
434,Book,Buk,Yer Ayırtmak
435,Border,Bordır,Sınır
436,Bore,Bor,Can Sıkmak
437,Ceremony,Serımıni,Seremoni
438,Certain,Sörtın,Kesin Belirli Emin Olmak
439,Certainly,Sörtınli,Kuşkusuz
440,Certificate,Sertıfıkeyt,Sertifika
441,Chain,Çeyn,Zincir
442,Chair,Çeır,İskemle
443,Chairman,Çeırmen,Yönetim Kurulu Başkanı
444,Chalk,Çolk,Tebeşir
445,Challenge,Çalınc,Meydan Okuma
446,Champion,Çempiın,Şampiyon
447,Championship,Çempiınşip,Şampiyona
448,Chance,Çens,Şans Fırsat
449,Change,Çeync,1.Değişmek 2.Değişim 3.Bozuk Para
450,Character,Kerıktır,Kişilik
451,Charge,Çarc,1.Doldurmak 2.Masrafa Yazmak
452,Charm,Çarm,Çekicilik
453,Cause,Koz,1.Neden 2.Neden Olmak
454,Ceiling,Silign,Tavan
455,Cell,Sel,Hücre (Hapis Beyin V.B)
456,Cellar,Selır,Kiler Bodrum
457,Century,Sençri,Yüzyıl
458,Connect,Konekt,Birleştirmek
459,Conquer,Konkuır,İşgal Etmek
460,Conscience,Konşıns,Vicdan Bilinç
461,Conscious,Konşıs,Bilinçli
462,Consider,Konsidır,1.Göz Önüne Almak 2.Düşünmek
463,Consideration,Konsidıreyşın,Düşünüş Tartış
464,Consist,Kınsist,Oluşmak
465,Consul,Konsl,Konsolos
466,Consult,Kınsalt,Danışmak
467,Consultation,Konslteyşın,Toplantı Konsültasyon
468,Contain,Konteyn,Kapsamak
469,Container,Konteynır,Kap
470,Content,Kontent,Tatmin Olmuş
471,Contents,Kontents,İçerik
472,Continuous,Kontinuıs,Sürekli
473,Contrary,Kontrıri,Tersine Zıddına
474,Charming,Çarming,Çekici
475,Chatter,Çetır,Gevezelik Yapmak
476,Cheap,Çiip,Ucuz
477,Cheat,Çiit,1.Hileci 2.Hile Yapmak Kopya Çekmek
478,Check,Çek,Kontrol Etmek
479,Cheer,Çiır,1.Neşe 2.Coşturmak
480,Cheese,Çiiz,Peynir
481,Chemical,Kemıkl,Kimyasal
482,Cherry,Çeri,Kiraz
483,Chess,Çes,Satranç
484,Chewing-Gum,Çuving Gam,Sakız
485,Chicken,Çikın,Piliç
486,Chief,Çif,Şef
487,Child,Çayld,Çocuk
488,Childhood,Çayldhuud,Çocukluk
489,Chin,Çin,Çene
490,Choose,Çuz,Seçmek
491,Christian,Krisçın,Hıristiyan
492,Church,Çörç,Kilise
493,Cigarette,Sigıret,Sigara
494,Cinema,Sinıma,Sinema
495,Contrast,Kıntrast,Karşılaştırmak
496,Control,Kontroul,Kontrol Etmek Yönetmek
497,Convenience,Konvinyıns,Uygunluk Kolaylık
498,Convenient,Konvinyınt,Elverişli Uygun
499,Conversation,Konverseyşın,Söyleşi
500,Cook,Kuuk,1.Aşçı 2.Yemek Pişirmek
501,Cool,Kuul,1.Serin 2.Serinletmek Soğutmak
502,Cop,Kap,Polis
503,Copper,Kapır,Bakır
504,Copy,Kopi,Kopyalamak Taklit Etmek
505,Corn,Korn,1. Ekin Mısır 2.Nasır
506,Corner,Kornır,Köşe
507,Correct,Korekt,1.Hatasız 2.Düzeltmek
508,Cost,Kost,Maliyet Mal Olmak
509,Costly,Kostli,Pahalı
510,Cottage,Kotıc,Köy Evi
511,Cotton,Kotn,Pamuk
512,Cough,Kof,Öksürmek
513,Council,Kaunsl,Konsey
514,Count,Kaunt,Saymak
515,Country,Kantri,1.Ülke 2.Kırlık Alan
516,Circle,Sörkl,1.Çember 2.Grup (Çevre)
517,Circular,Sörkulır,Yuvarlak Çembersel Sirküler
518,Circumstances,Sörkımstensıs,Durum Vaziyet
519,Circus,Sörkıs,Sirk
520,Citizen,Sitizn,Yurttaş
521,City,Siti,Kent Site
522,Civic,Sivik,1.Kente Ait 2.Civic Duty Yurttaşlık Görevi
523,Civil,Sivl,Sivil
524,Claim,Kleym,İleri Sürmek Savlamak
525,Clasp,Klasp,Sıkıca Tutmak
526,Class,Klas,Sınıf
527,Classic,Klesik,Klasik
528,Clean,Kliin,1.Temizlemek 2.Temiz
529,Clear,Kliır,1.Açık Berrak Anlaşılan 2.(Ortalığı) Toplamak
530,Clerk,Klark,Memur
531,Clever,Klevır,Akıllı
532,Climb,Klaymb,Tırmanmak Yükselmek
533,Cloakroom,Kloukrum,Vestiyer Tuvalet
534,Couple,Kapıl,1.Çift (Karı-Koca V.B) 2.Bir Kaç
535,Courage,Karıc,Cesaret
536,Course,Kors,1.Gidişat 2.Kurs
537,Court,Kort,1.Mahkeme 2.Kort
538,Cousin,Kazn,Kuzen
539,Cover,Kavır,Kaplamak
540,Cow,Kau,İnek
541,Coward,Kauırd,Korkak
542,Crack,Krek,Kırmak
543,Crash,Kreş,Çarpışmak (Sertçe) Çarpıştırmak
544,Crazy,Kreyzi,Çılgın
545,Cream,Kriim,1.Krema 2.Krem 3.Kirli Beyaz
546,Creation,Krieyşın,Yaratış
547,Creature,Kriiçır,Yaratık
548,Crime,Kraym,Suç
549,Criminal,Kriminl,Suçlu (Yasa Önünde)
550,Criticize,Kritisayz,Eleştirmek
551,Crop,Krop,Ürün (Toprak Ürünü)
552,Clock,Klok,Saat
553,Close,Klous,Yakın
554,Close,Klouz,1.Son 2.Kapalı 3.Kapatmak
555,Clothes,Klouthz,Giysiler (Her Zaman Çoğuldur)
556,Cloud,Klaud,Bulut
557,Club,Klab,1.Klüp 2.(Kağıt Oyunlarında) Sinek
558,Coach,Kouç,1.Antrenör 2.Yolcu Vagonu 3.Şehirlerarası Otobüs
559,Coal,Kol,Kömür
560,Coat,Kout,Palto
561,Cobweb,Kobveb,Örümcek Ağı
562,Coconut,Kokonat,Hindistan Cevizi
563,Coffee,Kafi,Kahve
564,Coffin,Kofin,Tabut
565,Coin,Koin,Madeni Para
566,Cold,Kould,Soğuk
567,Collar,Kolır,Yaka Tasma
568,Collect,Kolekt,Toplamak
569,Colour,Kalır,Renk
570,Comb,Kom,Tarak
571,Come,Kam,Gelmek
572,Comfort,Kanfırt,Konfor Rahat
573,Cross,Kros,1.Karşıdan Karşıya Geçmek Çaprazlama Gitmek 2.Haç
574,Crossing,Krosing,Geçit
575,Crossroads,Krosroudz,Kavşak
576,Crowd,Kraud,Kalabalık
577,Crown,Kraun,Taç
578,Cruel,Kruıl,Zalim
579,Cruise,Kruuz,1.Deniz Gezisi 2.Kıtalararası Silah
580,Crush,Kraş,Kırmak (Basarak)
581,Cry,Kray,Bağırmak Ağlamak
582,Cube,Küub,Küp
583,Cucumber,Küukambır,Hıyar
584,Cultivate,Kaltıveyt,Toprakla Uğraşmak
585,Culture,Kalçır,Kültür
586,Cup,Kap,1.Fincan 2.Kupa
587,Cure,Küur,İyileştirmek Tedavi İşlem
588,Curiosity,Küriositi,Merak
589,Curious,Küriyıs,1.Meraklı 2.Olağandışı
590,Curl,Körl,Kıvırmak
591,Current,Karınt,1.Akım 2.Cari 3.Kur
592,Curse,Körs,Lanet
593,Curtain,Körtn,Perde
594,Comfortable,Kanfırtıbıl,Konforlu
595,Command,Komand,Kumanda Etmek
596,Commence,Kımens,Başlamak
597,Commercial,Kımörşıl,1.Ticari 2.Reklam (Filmi)
598,Common,Kamın,1.Avam Basit Sade 2.Ortak Müşterek
599,Community,Komüniti,Toplum
600,Company,Kampany,1.Şirket Kumpanya 2.Beraberlik Arkadaşlık
601,Comparatively,Kımpırativli,Mukayeseli Olarak
602,Compare,Kımpeyr,Mukayese Etmek
603,Compass,Kampıs,1.Pusula 2.Pergel
604,Compete,Kımpiit,Yarışmak
605,Competition,Kompitişn,1.Yarışma 2.Rekabet
606,Complain,Kımpleyn,Yakınmak Şikayet Etmek
607,Complete,Kımpliit,Bütün Tüm Tamamı Bitmiş
608,Compliment,Komplimınt,İltifat Kompliman Hediye
609,Compound,Kompaund,Birleşik Bileşik
610,Concern,Konsörn,1.İlgilendirmek 2.Üzülmek
611,Concert,Kansıt,Konser
612,Conclude,Konkluud,1.Sonuca Ulaşmak 2.Karar Vermek
613,Curve,Körv,Eğri
614,Custom,Kastım,Gelenek
615,Customer,Kastımır,Alıcı Müşteri
616,Customs,Kastımz,Gümrük
617,Cut,Kat,Kesmek
618,Cycle,Saykl,Bisiklet Tur
619,Dad,Ded,Baba
620,Daily,Deyli,Günlük
621,Dam,Dem,Baraj
622,Damp,Demp,Nemli
623,Dance,Dens,Dans
624,Danger,Deyncır,Tehlike
625,Dangerous,Deyncrıs,Tehlikeli
626,Dare,Deyr,1.Cesaretli Olmak Cüret Göstermek 2.Meydan Okumak
627,Dark,Dark,1.Karanlık 2.Koyu 3.Siyah Tenli
628,Dash,Deş,1.Fırlamak Aniden Koşmak 2.'-'İşareti
629,Date,Deyt,Günün Tarihi
630,Daughter,Dotır,Kız Çocuk
631,Day,Dey,Gün
632,Condition,Kındişın,Durum Şart
633,Confess,Kınfes,İtiraf Etmek
634,Confidence,Konfidıns,Güven
635,Confuse,Kınfüuz,(Kafası) Karışmak Şaşırmak
636,Congratulate,Kongraçuleyt,Kutlamak
637,December,Dısembır,Aralık (Ayı)
638,Decide,Disayd,Karar Vermek
639,Decision,Dısijn,Karar
640,Declare,Dikleır,Açıklamak
641,Decorate,Dekıreyt,Döşemek Dekore Etmek
642,Deed,Diid,1.Eylem 2.Tapu
643,Deep,Diip,Derin
644,Deer,Diır,Geyik
645,Defeat,Dıfiit,Kaybetmek (Oyunda Savaşta Vs.)
646,Defence,Difens,Savunma Defans
647,Defend,Difend,Savunmak
648,Definite,Defınit,Kesin Belirli
649,Degree,Dıgrii,Derece
650,Delay,Dıley,Geciktirmek Ertelemek
651,Delicate,Delikıt,Nazik
652,Dead,Ded,Ölü
653,Deal,Diıl,Alıp Satmak (Ticari) İş Yapmak
654,Dear,Diır,1.Sevgili Sevilen 2.Pahalı
655,Death,Deth,Ölüm
656,Deceive,Dısiiv,Kandırmak
657,Doubt,Daut,1.Şüphe 2.Emin Olmamak
658,Down,Daun,Aşağısı
659,Draw,Drov,1.Çizmek (Resim) 2.Çekmek (Çekmece)
660,Dreadful,Dredfl,Korkunç Kötü
661,Dreadfully,Dredfıli,Çok
662,Dream,Driim,Düş Hayal Rüya Rüya Görmek
663,Dress,Dres,1.Giysi 2.Giyinmek
664,Drill,Dril,1.Delmek 2.(Tekrar Tekrar) Öğretmek
665,Drink,Drink,İçmek
666,Drive,Draıv,Araba Kullanmak Sürmek
